,Comment,Hate,clean_comment,Tokens,Length,devanagari
0,"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",0,knowing ki vikas kitna samjhata hai priyanka aur itch guard luv ko usne bola tha ben wali baat ab sallu ne bhi agree kiya,"['knowing', 'ki', 'vikas', 'kitna', 'samjhata', 'hai', 'priyanka', 'aur', 'itch', 'guard', 'luv', 'ko', 'usne', 'bola', 'tha', 'ben', 'wali', 'baat', 'ab', 'sallu', 'ne', 'bhi', 'agree', 'kiya']",24,कनोइंग की विकास कितना समझाता है प्रियंका और इतच् गार्ड लव को उसने बोलै था बेन वाली बात अब सल्लू ने भी एग्री किया
1,I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,0,muhajir aur mere lye sab se pehly pakistan agr lakh altaf jese leaders bh zameen ki behurmati kren un sbko sar e aam phansi deni chahye proud muhajir pakistani,"['muhajir', 'aur', 'mere', 'lye', 'sab', 'se', 'pehly', 'pakistan', 'agr', 'lakh', 'altaf', 'jese', 'leaders', 'bh', 'zameen', 'ki', 'behurmati', 'kren', 'un', 'sbko', 'sar', 'e', 'aam', 'phansi', 'deni', 'chahye', 'proud', 'muhajir', 'pakistani']",29,मुहाजिर और मेरे लये सब से पेहली पाकिस्तान अगर लाख अल्ताफ जैसे लीडर्स बह ज़मीन की बेहुरमती करें उन सबको सर इ आम फँसी देनी चाहिए प्राउड मुहाजिर पाकिस्तानी
2,"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",0,doctor sab sahi ke phd hate politics wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowling khelo aur maje lo pictwittercomfkqubqstw,"['doctor', 'sab', 'sahi', 'ke', 'phd', 'hate', 'politics', 'wale', 'bhai', 'padhe', 'likhe', 'ho', 'fir', 'kyu', 'ye', 'sab', 'baate', 'karte', 'ho', 'tum', 'bas', 'bowling', 'khelo', 'aur', 'maje', 'lo', 'pictwittercomfkqubqstw']",27,डॉक्टर सब सही के पीएचडी हेट पॉलिटिक्स वाले भाई पढ़े लिखे हो फिर क्यों ये सब बाते करते हो तुम बस बोलिंग खेलो और मजे लो पिस्टवॉटरकफककोबकसतव
3,"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",0,poore desh patel obc aate hain sirf gujrat ko chor kar may ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye jis obc ko mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain,"['poore', 'desh', 'patel', 'obc', 'aate', 'hain', 'sirf', 'gujrat', 'ko', 'chor', 'kar', 'may', 'ye', 'manuwadiyon', 'bramanwadi', 'kabhi', 'aapko', 'aarackchan', 'nahi', 'denge', 'ye', 'jis', 'obc', 'ko', 'mila', 'hai', 'usse', 'bhi', 'nafrat', 'karte', 'hain', 'ye', 'khoon', 'aur', 'chamdi', 'ka', 'frak', 'karne', 'waale', 'bharmhanwadi', 'kisi', 'ke', 'sage', 'nahi', 'hain']",45,पूरे देश पटेल ोब्स आते हैं सिर्फ गुजरात को चोर कर मई ये मनुवादियों ब्रामणवादी कभी आपको आरकछन नहीं देंगे ये जिस ोब्स को मिला है उससे भी नफरत करते हैं ये खून और चमड़ी का फरक करने वाले भरमहानवादी किसी के सेज नहीं हैं
4,"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",1,sarkar banne ke bad hindu hit ek bhi faisla jo bjp ke dwara liya gaya hobjp ko gaygobarmandirmasjid aur nafrat faila kar vot chahiye,"['sarkar', 'banne', 'ke', 'bad', 'hindu', 'hit', 'ek', 'bhi', 'faisla', 'jo', 'bjp', 'ke', 'dwara', 'liya', 'gaya', 'hobjp', 'ko', 'gaygobarmandirmasjid', 'aur', 'nafrat', 'faila', 'kar', 'vot', 'chahiye']",24,सर्कार बनने के बाद हिन्दू हिट एक भी फैसला जो बीजेपी के द्वारा लिया गया होब्ज्प को गायगोबरमंदिरमस्जिद और नफरत फैला कर वोट चाहिए
5,Hate it jab test ata ho phr bh acha na ho -.-,1,hate jab test ata ho phr bh acha na ho,"['hate', 'jab', 'test', 'ata', 'ho', 'phr', 'bh', 'acha', 'na', 'ho']",10,हेट जब टेस्ट अत हो पहर बह ाचा न हो
6,Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,0,ek dil ek jaan akal ke imitihaan kal kp ke rape aur sawing two legs rape honge justified due cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam,"['ek', 'dil', 'ek', 'jaan', 'akal', 'ke', 'imitihaan', 'kal', 'kp', 'ke', 'rape', 'aur', 'sawing', 'two', 'legs', 'rape', 'honge', 'justified', 'due', 'cinematic', 'liberty', 'aaj', 'toh', 'rajput', 'ki', 'ho', 'gayi', 'shaan', 'urdu', 'ki', 'gulaam']",31,एक दिल एक जान अकाल के िमितिहां कल कप के रपे और सेविंग तवो लेग्स रपे होंगे जस्टीफ़ाइड देय सिनेमेटिक लिबर्टी आज तोह राजपूत की हो गयी शान उर्दू की गुलाम
7,Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1,aise logo se sakht nafrat karta hu jo caste ko naam ke sath jod ke chaude hote h real vo piddu hote h,"['aise', 'logo', 'se', 'sakht', 'nafrat', 'karta', 'hu', 'jo', 'caste', 'ko', 'naam', 'ke', 'sath', 'jod', 'ke', 'chaude', 'hote', 'h', 'real', 'vo', 'piddu', 'hote', 'h']",23,ऐसे लोगो से सख्त नफरत करता हु जो कासते को नाम के साथ जोड़ के चौड़े होते ह रियल वो पिद्दू होते ह
8,"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",1,sir jyada sentimental mat ho jao peene ke baadjiss desh ki buniyad sirf hindu hatred pe hui ho woh kabhi nahi sudrega aap pok de yaa phir kabootar udao jawab sirf goliyon se milega,"['sir', 'jyada', 'sentimental', 'mat', 'ho', 'jao', 'peene', 'ke', 'baadjiss', 'desh', 'ki', 'buniyad', 'sirf', 'hindu', 'hatred', 'pe', 'hui', 'ho', 'woh', 'kabhi', 'nahi', 'sudrega', 'aap', 'pok', 'de', 'yaa', 'phir', 'kabootar', 'udao', 'jawab', 'sirf', 'goliyon', 'se', 'milega']",34,सर ज्यादा सेंटीमेंटल मत हो जाओ पीने के बाड़जिसस देश की बुनियाद सिर्फ हिन्दू हैट्रेड पे हुई हो वह कभी नहीं सुदरेगा आप पोक दे या फिर कबूतर उड़ाओ जवाब सिर्फ गोलियों से मिलेगा
9,I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,0,sorry say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,"['sorry', 'say', 'saaf', 'dil', 'shilpa', 'ke', 'fans', 'hiten', 'ke', 'dil', 'mein', 'kya', 'hai', 'woh', 'bhi', 'samjhte', 'hain', 'hadh', 'hoti', 'hai', 'nafrat', 'ki', 'bhi']",23,सॉरी से साफ़ दिल शिल्पा के फंस हितेन के दिल में क्या है वह भी समझते हैं हद होती है नफरत की भी
10,"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",0,madambahut sochsamajhkr mai ess tarq pe pureymahino mei pahucha hoon k asli wajah muslim hatredhai jo kabipartitionramtemplegaumatabharatmaatakijai vandematram raastragan pak premigaddaarbachche jyada bibiyabachche k safar tai karte huey tajmahal p jake atka hai,"['madambahut', 'sochsamajhkr', 'mai', 'ess', 'tarq', 'pe', 'pureymahino', 'mei', 'pahucha', 'hoon', 'k', 'asli', 'wajah', 'muslim', 'hatredhai', 'jo', 'kabipartitionramtemplegaumatabharatmaatakijai', 'vandematram', 'raastragan', 'pak', 'premigaddaarbachche', 'jyada', 'bibiyabachche', 'k', 'safar', 'tai', 'karte', 'huey', 'tajmahal', 'p', 'jake', 'atka', 'hai']",33,माडंबहुत सोचसमझकर मई ईएसएस तर्क पे पुरेमहीनो में पंहुचा हूँ क असली वजह मुस्लिम हतरढई जो कबिपार्टीशनरामटेम्पलेगौमताभारतमाताकीजै वन्देमातरम राष्ट्रगान पाक प्रेमीगडड़ारबच्चे ज्यादा बीबियाबच्चे क सफर तै करते हुए ताजमहल प जेक अटका है
